Artist Name,Product Code,Item Name,Item Type,,,,,,,,,,,,,,,GBP (),Est. USD (),Est. Euro ()
Artist Name,Product Code,Item Name,Item Type,Quantity,USD,GBP (£),Notes,,,,,USD (from field),USD (calculated),GBP (calculated from USD field),Final GBP,GBP (Calculated and rounded),Final Euro (calculated and rounded),Final GBP,USD (calculated),Final Euro (calculated and rounded)
allieflx,AL1,Drafter,Alt Art Card Set,20,$6.70,£5.00,£5 per playset (20 playsets),,,,,$6.70,$6.75,$4.96,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
allieflx,AL2,Docklands Pass ,Alt Art Card Set,20,$6.70,£5.00,£5 per playset (20 playsets),,,,,$6.70,$6.75,$4.96,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
allieflx,AL3,Strike Fund ,Alt Art Card Set,20,$6.70,£5.00,£5 per playset (20 playsets),,,,,$6.70,$6.75,$4.96,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
allieflx,AL4,Begemot ,Alt Art Card Set,30,$6.70,£5.00,£5 per playset (30 playsets),,,,,$6.70,$6.75,$4.96,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
allieflx,AL5,Measured Response ,Alt Art Card Set,30,$6.70,£5.00,£5 per playset (30 playsets),,,,,$6.70,$6.75,$4.96,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
Purling Designs,MA1,Mystic Maemi Plushie (crocheted),Other,3,$26.00,£19.20,Price in GBP is 19.20£,,,,,$26.00,$26.00,$19.24,£19.20,£19.00,€22.00,£19.20,$26.00,€22.00
Purling Designs,MA2,Gourmand Plushie (crocheted),Other,1,$30.00,£22.15,Price in GBP is 22.15£,,,,,$30.00,$30.00,$22.20,£22.15,£22.00,€25.50,£22.15,$30.00,€25.50
Ams,AMS1,Alt Art Single (IDs and l1pd cards),Alt Art Card Single,,$6.70,£5.00,IDs and l1pd cards,,,,,$6.70,$6.75,$4.96,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
Ams,AMS2,Alt Art Playset (Everything else except Jeitinho),Alt Art Card Set,,$4.02,£3.00,Everything else except Jeitinho,,,,,$4.02,$4.00,$2.98,£3.00,£3.00,€3.50,£3.00,$4.00,€3.50
Ams,AMS3,Jeitinho Playset (6-card playset with 6 different flavor texts),Alt Art Card Set,,$10.72,£8.00,These come with 6 different flavour texts; please sell them as playsets with one of each,,,,,$10.72,$10.75,$7.93,£8.00,£8.00,€9.00,£8.00,$10.75,€9.00
Ams,AMS4,Hermes pendant (thicker version with a cyan screen),Accessory,11,$33.51,£25.00,The thicker version with a cyan screen,,,,,$33.51,$33.75,$24.79,£25.00,£25.00,€29.00,£25.00,$33.75,€29.00
Ams,AMS5,Hermes necklace (lightweight version with no cyan screen),Accessory,5,$13.40,£10.00,The lightweight version with no cyan screen,,,,,$13.40,$13.50,$9.92,£10.00,£10.00,€11.50,£10.00,$13.50,€11.50
Ams,AMS6,Art print,Art Print,22,$13.40,£10.00,,,,,,$13.40,$13.50,$9.92,£10.00,£10.00,€11.50,£10.00,$13.50,€11.50
Ams,AMS7,Table of identities poster,Art Print,5,$33.51,£25.00,,,,,,$33.51,$33.75,$24.79,£25.00,£25.00,€29.00,£25.00,$33.75,€29.00
Atien,BR1,Set of Alt Art,Alt Art Card Set,,$6.73,£5.00,,,,,,$6.73,$6.75,$4.98,£5.00,£5.00,€6.00,£5.00,$6.75,€6.00
Atien,BR2,ID Alt Art,Alt Art Card Single,,$4.04,£3.00,Not the Anime Runner IDs,,,,,$4.04,$4.00,$2.99,£3.00,£3.00,€3.50,£3.00,$4.00,€3.50
Atien,BR3,Anime Runner ID by Alyah set,Alt Art Card Set,15,$16.15,£12.00,Set of 3x Anime Runner IDs (not divisible),,,,,$16.15,$16.25,$11.95,£12.00,£12.00,€14.00,£12.00,$16.25,€14.00
Atien,BR4,T-shirt Grey ICE ICE HF,Apparel,6,$24.23,£18.00,,,,,,$24.23,$24.25,$17.93,£18.00,£18.00,€20.50,£18.00,$24.25,€20.50
Atien,BR5,T-shirt Purple Stegodon,Apparel,8,$24.23,£18.00,,,,,,$24.23,$24.25,$17.93,£18.00,£18.00,€20.50,£18.00,$24.25,€20.50
Atien,BR6,T-shirt Dark Blue GameNet,Apparel,5,$24.23,£18.00,,,,,,$24.23,$24.25,$17.93,£18.00,£18.00,€20.50,£18.00,$24.25,€20.50
Atien,BR7,T-shirt Black Knickknack,Apparel,8,$29.61,£22.00,,,,,,$29.61,$29.75,$21.91,£22.00,£22.00,€25.50,£22.00,$29.75,€25.50
Atien,BR8,"T-shirt Anime Runner (Seb, Mercury, Ari)",Apparel,20,$29.61,£22.00,"Only L and XL, colour and black",,,,,$29.61,$29.75,$21.91,£22.00,£22.00,€25.50,£22.00,$29.75,€25.50
Atien,BR9,Dog Tag,Accessory,50,$12.11,£9.00,,,,,,$12.11,$12.25,$8.96,£9.00,£9.00,€10.50,£9.00,$12.25,€10.50
